shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
2740	C32H79N13O	[M + Na]+	0.863	12.561	15	0.324	5960_CARA_C18_pos_SIRIUS_2740	2.374	3.28
22840	C33H60O2	[M + Na]+	0.863	5.402	1	0.0	2536_CARA_C18_pos_SIRIUS_22840	-5.772	5.982
20797	C39H72N4O2	[M + H3N + H]+	0.862	13.597	9	0.767	6107_CARA_C18_pos_SIRIUS_20797	-8.588	4.83
7949	C19H37NO4	[M + H]+	0.862	10.579	6	0.259	4697_CARA_C18_pos_SIRIUS_7949	-5.911	2.287
1160	C36H66O5	[M - H2O + H]+	0.862	16.809	10	0.41	4145_CARA_C18_pos_SIRIUS_1160	-32079.699	7.092
33933	C18H34O5	[M + Na]+	0.862	12.051	2	0.586	2132_CARA_C18_pos_SIRIUS_33933	-2.675	2.437
6265	C21H42O4	[M - H2O + H]+	0.862	9.359	4	0.499	6413_CARA_C18_pos_SIRIUS_6265	-52775.939	5.804
34409	C33H58O3	[M + H3N + H]+	0.862	31.053	8	0.844	3435_CARA_C18_pos_SIRIUS_34409	-7.342	3.489
6379	C23H36O4	[M + Na]+	0.862	17.389	3	0.647	5268_CARA_C18_pos_SIRIUS_6379	-3.457	4.523
25404	C24H48O8	[M + H]+	0.861	5.732	1	0.0	1742_CARA_C18_pos_SIRIUS_25404	4.953	2.992
23820	C28H54O2	[M + H]+	0.861	5.129	1	0.0	4305_CARA_C18_pos_SIRIUS_23820	-7.929	8.088
5580	C20H43N7O3	[M + H]+	0.861	0.95	1	0.0	5877_CARA_C18_pos_SIRIUS_5580	-0.499	0.606
20163	C25H48O2	[M + Na]+	0.861	5.803	1	0.0	6189_CARA_C18_pos_SIRIUS_20163	7.558	2.261
19199	C25H47NO2	[M + Na]+	0.861	102.26	32	0.778	5556_CARA_C18_pos_SIRIUS_19199	0.479	4.609
8836	C26H48O	[M + Na]+	0.86	6.416	2	0.21	1647_CARA_C18_pos_SIRIUS_8836	-2.095	3.34
5414	C15H39B3N6	[M + Na]+	0.86	2.839	3	0.403	923_CARA_C18_pos_SIRIUS_5414	-1.83	5.002
