shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
4926	C20H30O19	[M - H]-	0.999	19.034	3	0.866	5516_CARA_HILIC_neg_SIRIUS_charge0_removed_4926	0.956	1.555
7083	C9H18O9	[M - H]-	0.999	24.14	3	0.893	3084_CARA_HILIC_neg_SIRIUS_charge0_removed_7083	-3.737	1.667
354	C3H2F6O2	[M - H]-	0.999	24.085	4	0.97	2442_CARA_HILIC_neg_SIRIUS_charge0_removed_354	-0.668	2.293
632	C3H2F6O2	[M - H]-	0.999	20.599	3	0.925	3186_CARA_HILIC_neg_SIRIUS_charge0_removed_632	-2.854	2.419
3182	C18H35NO4	[M - H]-	0.999	16.821	5	0.894	348_CARA_HILIC_neg_SIRIUS_charge0_removed_3182	-2.84	4.892
7495	C19H22Cl2O10	[M - H]-	0.999	17.981	4	0.916	3711_CARA_HILIC_neg_SIRIUS_charge0_removed_7495	-4.229	3.428
9825	C9H12N2O6	[M - H]-	0.999	16.79	4	0.595	932_CARA_HILIC_neg_SIRIUS_charge0_removed_9825	1.4	8.854
1805	C44H89NO6	[M - H2O - H]-	0.999	16.192	20	0.744	5337_CARA_HILIC_neg_SIRIUS_charge0_removed_1805	-25413.61	5.968
2834	C7H12N2O4	[M - H]-	0.999	15.544	5	0.925	2838_CARA_HILIC_neg_SIRIUS_charge0_removed_2834	-2.835	6.297
6731	C31H62N2O6	[M - H]-	0.999	14.132	5	0.883	4079_CARA_HILIC_neg_SIRIUS_charge0_removed_6731	2.132	8.119
6428	C15H18Cl2N2O4	[M - H]-	0.999	13.163	4	0.869	3715_CARA_HILIC_neg_SIRIUS_charge0_removed_6428	-0.239	4.701
10528	C7H15NO4	[M - H]-	0.999	11.023	2	0.966	31_CARA_HILIC_neg_SIRIUS_charge0_removed_10528	-1.883	2.591
1567	C5H12O8S2	[M - H]-	0.999	11.276	8	1.0	1146_CARA_HILIC_neg_SIRIUS_charge0_removed_1567	-5.639	6.85
542	C18H36O2	[M - H]-	0.999	5.841	1	0.0	1145_CARA_HILIC_neg_SIRIUS_charge0_removed_542	-3.721	1.851
2040	C29H53NO4	[M - H]-	0.999	6.131	3	1.0	2679_CARA_HILIC_neg_SIRIUS_charge0_removed_2040	-5.817	5.881
1740	C22H38O2	[M - H]-	0.999	5.721	1	0.0	2653_CARA_HILIC_neg_SIRIUS_charge0_removed_1740	-3.013	3.101
634	C18H36O2	[M - H]-	0.999	5.677	1	0.0	1141_CARA_HILIC_neg_SIRIUS_charge0_removed_634	-3.721	3.528
9260	C9H18O2	[M - H]-	0.999	5.809	1	0.0	72_CARA_HILIC_neg_SIRIUS_charge0_removed_9260	-1.931	2.8
1453	C15H22O2	[M - H]-	0.999	5.635	1	0.0	4422_CARA_HILIC_neg_SIRIUS_charge0_removed_1453	-3.875	3.931
4610	C16H29N3O6	[M - H]-	0.999	7.801	6	0.842	1025_CARA_HILIC_neg_SIRIUS_charge0_removed_4610	-2.119	2.594
3563	C6H10O3	[M - H]-	0.999	5.98	1	0.0	250_CARA_HILIC_neg_SIRIUS_charge0_removed_3563	0.637	0.379
