rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
5275	C22H28F2N2O7	[M - H]-	C22H28F2N2O7	0.14221105527638192	8.095655622010035	8.095655622010035	0.0	5	0.8598484876868916	1.220220765238371	3.6002976127884923	6.8603939332218085	469.1824	78.812	4075_CARA_HILIC_neg_SIRIUS_charge0_removed_10779
5276	C29H38O9	[M + Cl]-	C29H38O9	0.14170854271356786	5.8920271966980895	5.8920271966980895	0.0	1	0.0	1.2862800036060151	1.2862800036060151	1.2666606583637199	565.2217	109.32	4390_CARA_HILIC_neg_SIRIUS_charge0_removed_10785
5277	C37H69N5O11	[M - H]-	C37H69N5O11	0.14170854271356786	5.259979946359932	5.259979946359932	0.0	3	0.3852575560915161	1.697036581476342	5.170627614150498	8.462012898656427	758.4985	84.447	886_CARA_HILIC_neg_SIRIUS_charge0_removed_6957
5278	C14H20N6O4S	[M - H]-	C14H20N6O4S	0.14170854271356784	6.752802605681704	6.752802605681704	0.0	4	0.9903946700656847	-1.4585690509440854	5.796121528632867	-6.531072953326076	367.117	81.966	4355_CARA_HILIC_neg_SIRIUS_charge0_removed_5796
5279	C34H32N6O4	[M - H]-	C34H32N6O4	0.14120603015075375	8.181621788230975	8.181621788230975	0.0	3	0.9228035524127064	-0.004762209235772608	0.341993062381483	2.848817909009549	587.2429	151.515	5541_CARA_HILIC_neg_SIRIUS_charge0_removed_2681
5280	C15H20N2O17P2	[M + Br]-	C15H20N2O17P2	0.14020100502512564	2.9251659421212164	2.9251659421212164	0.0	4	0.2431745621261883	1.2643317642971783	3.164986908410337	-3.910068833909001	640.9401	78.966	3728_CARA_HILIC_neg_SIRIUS_charge0_removed_7611
5281	C20H14N2O10S3	[M - H]-	C20H14N2O10S3	0.1402010050251256	13.922755602213897	13.922755602213897	0.0	4	0.6688543414620515	-0.5680514962486239	1.4952900939408287	6.552984810750431	536.9773	74.859	5095_CARA_HILIC_neg_SIRIUS_charge0_removed_1260
5282	C36H50N2O9	[M - H]-	C36H50N2O9	0.13969849246231159	11.931132750836678	11.931132750836678	0.0	4	0.8665099932027687	-2.632662819210447	3.428291214710481	0.22235144041578242	653.3445	83.448	57_CARA_HILIC_neg_SIRIUS_charge0_removed_1978
5283	C19H12NO2P	[M + Br]-	C19H12NO2P	0.13869346733668342	11.885872069676106	11.885872069676106	0.0	3	0.9339641483454163	-3.390497617151877	5.898672854836885	-6.442128087388278	395.9769	71.126	5209_CARA_HILIC_neg_SIRIUS_charge0_removed_10293
5284	C58H74O4	[M + Br]-	C58H74O4	0.13869346733668342	5.922359997650806	5.922359997650806	0.0	1	0.0	-0.9376294004208329	0.9376294004208329	-0.9814458425745012	913.4767	81.98	3911_CARA_HILIC_neg_SIRIUS_charge0_removed_9134
