FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X970033	33	0.386	0.312	0.706	0.353	0.008	0.092	0.296	0.451	0.75	0.874	0.394	0.544	0.062	0.474
X970034	34	0.02	0.918	0.006	0.939	0.643	0.78	0.8	0.493	0.804	0.32	0.377	0.231	0.909	0.271
X970035	35	0.606	0.411	0.165	0.358	0.019	0.218	0.493	0.635	0.407	0.135	0.558	0.148	0.505	0.434
X970037	37	0.148	0.944	0.137	0.912	0.059	0.455	0.862	0.726	0.926	0.216	0.448	0.466	0.971	0.764
X970038	38	0.624	0.167	0.383	0.156	0.001	0.482	0.336	0.23	0.97	0.858	0.419	0.362	0.831	0.258
X970039	39	0.854	0.02	0.486	0.015	0.007	0.929	0.774	0.2	0.541	0.334	0.376	0.121	0.725	0.028
X970040	40	0.417	0.237	0.237	0.226	0	0.127	0.193	0.765	0.234	0.183	0.984	0.226	0.547	0.446
X970041	41	0.204	0.909	0.481	0.992	0.952	0.222	0.908	0.287	0.438	0.247	0.366	0.838	0.547	0.772
X970042	42	0.627	0.434	0.475	0.425	0.67	0.056	0.586	0.005	0.141	0.757	0.868	0.1	0.841	0.633
X970044	44	0.543	0.808	0.595	0.829	0.004	0.609	0.242	0.914	0.333	0.873	0.472	0.848	0.937	0.409
X970045	45	0.715	0.124	0.602	0.123	0.421	0.378	0.54	0.03	0.062	0.974	0.681	0.149	0.887	0.91
X970050	50	0.499	0.028	0.067	0.018	0.003	0.649	0.74	0.572	0.538	0.427	0.427	0.805	0.905	0.821
X970051	51	0.337	0.047	0.341	0.049	0.245	0.931	0.405	0.35	0.971	0.781	0.693	0.696	0.313	0.296
X970052	52	0.961	0.134	0.846	0.125	0.001	0.336	0.365	0.259	0.973	0.788	0.406	0.351	0.547	0.129
X970055	55	0.65	0.008	0.458	0.007	0.144	0.379	0.749	0.379	0.746	0.007	0.03	0.009	0.978	0.123
X970057	57	0.028	0.558	0.154	0.672	0.116	0.498	0.872	0.599	0.83	0.43	0.502	0.347	0.41	0.366
X970065	65	0.979	0.376	0.47	0.42	0.321	0.256	0.173	0.027	0.679	0.277	0.086	0.025	0.955	0.098
X970067	67	0.668	0.931	0.798	0.957	0.023	0.758	0.48	0.312	0.91	0.748	0.468	0.37	0.378	0.649
X970069	69	0.441	0.853	0.521	0.822	0.244	0.909	0.902	0.35	0.486	0.655	0.818	0.346	0.349	0.782
X970071	71	0.699	0.319	0.525	0.309	0.467	0.649	0.099	0.835	0.161	0.541	0.111	0.738	0.934	0.789
X970072	72	0.111	0.297	0.058	0.299	0.951	0.156	0.081	0.344	0.454	0.466	0.082	0.245	0.405	0.76
X970075	75	0.867	0.688	0.455	0.642	0.214	0.904	0.667	0.506	0.449	0.73	0.584	0.869	0.314	0.761
X970078	78	0.994	0.842	0.714	0.874	0.014	0.068	0.125	0.407	0.511	0.592	0.144	0.346	0.141	0.589
X970079	79	0.213	0.764	0.402	0.842	0.493	0.278	0.805	0.873	0.771	0.35	0.615	0.408	0.024	0.349
X970082	82	0.748	0.218	0.783	0.211	0.464	0.82	0.907	0.612	0.812	0.303	0.516	0.641	0.148	0.42
X970084	84	0.61	0.014	0.165	0.01	0.047	0.09	0.016	0.074	0.003	0.224	0.368	0.04	0.264	0.058
X970085	85	0.483	0.108	0.481	0.111	0.845	0.705	0.907	0.412	0.533	0.046	0.132	0.313	0.08	0.797
X970086	86	0.771	0.699	0.674	0.693	0.046	0.73	0.948	0.496	0.625	0.951	0.997	0.627	0.379	0.135
X970088	88	0.887	0.022	0.816	0.021	0.503	0.154	0.128	0.137	0.831	0.768	0.198	0.236	0.492	0.03
X970089	89	0.075	0.317	0.088	0.347	0.228	0.392	0.092	0.615	0.107	0.159	0.837	0.162	0.452	0.699
X970091	91	0.778	0.186	0.604	0.154	0.763	0.515	0.889	0.209	0.479	0.974	0.94	0.43	0.489	0.271
X970092	92	0.045	0.427	0.665	0.589	0.203	0.349	0.819	0.328	0.421	0.466	0.722	0.237	0.014	0.796
X970093	93	0.996	0.807	0.938	0.798	0.024	0.48	0.721	0.683	0.592	0.943	0.84	0.751	0.093	0.592
X970094	94	0.18	0.003	0.005	0.001	0.003	0.015	0.096	0.377	0.067	0.004	0.346	0.006	0.948	0.002
X970095	95	0.323	0.773	0.316	0.794	0.007	0.127	0.315	0.138	0.847	0.472	0.838	0.679	0.859	0.655
X970097	97	0.486	0.147	0.916	0.172	0.082	0.186	0.558	0.073	0.467	0.179	0.586	0.89	0.909	0.047
X970099	99	0.852	0.934	0.926	0.964	0.05	0.559	0.936	0.844	0.851	0.74	0.858	0.703	0.349	0.744
X970100	100	0.211	0.828	0.403	0.895	0.51	0.941	0.065	0.233	0.031	0.411	0.453	0.165	0.666	0.206
X970102	102	0.443	0.107	0.234	0.101	0.652	0.726	0.306	0.989	0.434	0.306	0.15	0.439	0.169	0.06
X970106	106	0.389	0.543	0.062	0.478	0.036	0.019	0.002	0.636	0.008	0.117	0.247	0.133	0.394	0.822
X970109	109	0.775	0.422	0.367	0.384	0.016	0.472	0.58	0.665	0.885	0.384	0.315	0.345	0.138	0.263
X970112	112	0.745	0.943	0.514	0.96	0.012	0.902	0.663	0.205	0.251	0.483	0.422	0.776	0.25	0.962
X970113	113	0.591	0.818	0.932	0.766	0.947	0.596	0.395	0.303	0.191	0.976	0.561	0.491	0.071	0.612
X970116	116	0.657	0.234	0.742	0.222	0.726	0.326	0.508	0.395	0.967	0.53	0.98	0.945	0.625	0.145
X970118	118	0.615	0.029	0.611	0.029	0	0.982	0.912	0.994	0.936	0.828	0.817	0.864	0.304	0.031
X970120	120	0.195	0.136	0.163	0.142	0.021	0.83	0.99	0.852	0.912	0.933	0.945	0.854	0.442	0.496
X970121	121	0.994	0.908	0.723	0.875	0.154	0.006	0.91	0.002	0.046	0.937	0.981	0.044	0.081	0.521
X970124	124	0.55	0.678	0.411	0.681	0.468	0.993	0.43	0.466	0.285	0.292	0.195	0.732	0.314	0.752
X970125	125	0.518	0.171	0.084	0.133	0.021	0.692	0.859	0.057	0.268	0.188	0.289	0.028	0.983	0.108
X970128	128	0.295	0.612	0.429	0.656	0.061	0.671	0.61	0.62	0.943	0.576	0.451	0.456	0.859	0.856
X970129	129	0.887	0.417	0.459	0.378	0.008	0.493	0.758	0.481	0.491	0.881	0.911	0.57	0.288	0.071
X970130	130	0.467	0.014	0.312	0.013	0.668	0.839	0.229	0.926	0.386	0.853	0.325	0.84	0.81	0.109
X970131	131	0.322	0.371	0.302	0.383	0.337	0.432	0.526	0.135	0.626	0.3	0.773	0.86	0.158	0.526
X970134	134	0.471	0.43	0.462	0.416	0.123	0.621	0.741	0.043	0.282	0.545	0.846	0.385	0.029	0.287
X970135	135	0.044	0.081	0.011	0.076	0.323	0.375	0.232	0.112	0.907	0.794	0.505	0.403	0.72	0.354
X970140	140	0.752	0.145	0.477	0.117	0.811	0.966	0.159	0.665	0.418	0.375	0.107	0.339	0.651	0.135
X970141	141	0.108	0.412	0.146	0.451	0.589	0.873	0.661	0.932	0.779	0.52	0.884	0.661	0.134	0.899
X970146	146	0.991	0.774	0.777	0.796	0.383	0.882	0.392	0.268	0.174	0.156	0.683	0.075	0.355	0.551
X970152	152	0.505	0.713	0.283	0.692	0.287	0.048	0.402	0.062	0.559	0.013	0.221	0.453	0.633	0.289
X970154	154	0.538	0.868	0.774	0.823	0.023	0.253	0.538	0.602	0.891	0.567	0.975	0.918	0.51	0.728
X970156	156	0.155	0.619	0.131	0.593	0.015	0.38	0.977	0.653	0.755	0.95	0.981	0.736	0.35	0.003
X970157	157	0.727	0.485	0.507	0.498	0.194	0.725	0.861	0.834	0.788	0.995	0.905	0.889	0.582	0.904
X970158	158	0.898	0.615	0.981	0.628	0.116	0.965	0.781	0.502	0.519	0.667	0.914	0.447	0.919	0.939
X970160	160	0.808	0.948	0.794	0.943	0.005	0.399	0.225	0.474	0.635	0.928	0.355	0.596	0.819	0.679
X970161	161	0.137	0.104	0.322	0.128	0.928	0.49	0.096	0.869	0.166	0.718	0.349	0.702	0.918	0.94
X970165	165	0.215	0.113	0.1	0.107	0.141	0.048	0.522	0.04	0.387	0.305	0.782	0.57	0.509	0.06
X970166	166	0.186	0.001	0.019	0.001	0.003	0.119	0.093	0.417	0.073	0.217	0.744	0.145	0.719	0.028
X970168	168	0.264	0.426	0.389	0.391	0.456	0.498	0.465	0.67	0.405	0.463	0.998	0.404	0.727	0.704
X970177	177	0.581	0.162	0.685	0.127	0.001	0.489	0.739	0.549	0.896	0.417	0.419	0.316	0.312	0.089
X970179	179	0.313	0.526	0.455	0.487	0.897	0.531	0.825	0.671	0.917	0.486	0.736	0.794	0.558	0.152
X970180	180	0.502	0.097	0.513	0.067	0.046	0.624	0.692	0.053	0.12	0.196	0.52	0.028	0.278	0.04
X970181	181	0.58	0.489	0.119	0.542	0.693	0.582	0.332	0.815	0.551	0.326	0.17	0.367	0.217	0.449
X970185	185	0.123	0.704	0.043	0.696	0.734	0.987	0.487	0.038	0.062	0.982	0.612	0.18	0.111	0.605
X970194	194	0.762	0.577	0.951	0.542	0.222	0.261	0.657	0.017	0.214	0.57	0.475	0.048	0.78	0.409
X970197	197	0.885	0.061	0.539	0.048	0.047	0.59	0.911	0.493	0.598	0.304	0.419	0.726	0.519	0.301
X970199	199	0.265	0.006	0.102	0.005	0.784	0.686	0.387	0.947	0.481	0.311	0.187	0.462	0.769	0.019
X970206	206	0.804	0.82	0.657	0.753	0.008	0.911	0.679	0.536	0.476	0.55	0.896	0.393	0.753	0.671
X970207	207	0.962	0.045	0.706	0.04	0.373	0.49	0.286	0.307	0.143	0.395	0.876	0.193	0.856	0.277
X970209	209	0.397	0.435	0.247	0.415	0.102	0.339	0.133	0.571	0.425	0.507	0.557	0.877	0.605	0.049
X970216	216	0.817	0.452	0.614	0.436	0.064	0.041	0.413	0.002	0.138	0.893	0.627	0.048	0.451	0.196
X970221	221	0.112	0.037	0.292	0.05	0.068	0.224	0.066	0.017	0.881	0.471	0.072	0.037	0.707	0.351
X970225	225	0.968	0.022	0.131	0.013	0.067	0.395	0.544	0.787	0.771	0.388	0.3	0.404	0.346	0.012
X970226	226	0.942	0.202	0.849	0.189	0.008	0.349	0.685	0.165	0.554	0.61	0.518	0.2	0.475	0.234
X970227	227	0.05	0.374	0.159	0.448	0.265	0.9	0.646	0.038	0.309	0.625	0.503	0.086	0.043	0.95
X970228	228	0.984	0.019	0.847	0.017	0.955	0.013	0.077	0.03	0.956	0.013	0.584	0.591	0.09	0.602
X970232	232	0.675	0.844	0.695	0.83	0.078	0.621	0.9	0.391	0.647	0.497	0.569	0.285	0.601	0.892
X970236	236	0.76	0.238	0.878	0.247	0.006	0.338	0.811	0.534	0.827	0.307	0.577	0.699	0.717	0.468
X970237	237	0.486	0.55	0.764	0.595	0.826	0.673	0.608	0.526	0.987	0.36	0.314	0.269	0.295	0.404
X970240	240	0.385	0.893	0.354	0.876	0.961	0.024	0.308	0.717	0.581	0.349	0.953	0.626	0.241	0.061
X970250	250	0.572	0.004	0.316	0.003	0.141	0.971	0.276	0.13	0.882	0.447	0.193	0.122	0.033	0.5
X970251	251	0.068	0.31	0.044	0.323	0.731	0.396	0.987	0.864	0.902	0.419	0.559	0.61	0.945	0.082
X970254	254	0.114	0.78	0.813	0.94	0.026	0.074	0.607	0.765	0.84	0.036	0.248	0.149	0.672	0.342
X970255	255	0.688	0.513	0.694	0.52	0.984	0.367	0.238	0.332	0.129	0.398	0.809	0.206	0.172	0.335
X970257	257	0.199	0.616	0.41	0.683	0.008	0.631	0.176	0.426	0.124	0.29	0.829	0.189	0.415	0.773
X970268	268	0.967	0.137	0.818	0.131	0.015	0.662	0.585	0.654	0.481	0.627	0.966	0.509	0.937	0.339
X970269	269	0.521	0.528	0.73	0.563	0.898	0.955	0.539	0.037	0.069	0.839	0.771	0.129	0.275	0.999
X970271	271	0.309	0.724	0.528	0.782	0.002	0.773	0.907	0.582	0.657	0.627	0.794	0.469	0.561	0.968
X970277	277	0.107	0.02	0.029	0.017	0.001	0.217	0.233	0.234	0.096	0.111	0.77	0.05	0.779	0.066
X970283	283	0.499	0.204	0.965	0.17	0.716	0.05	0.431	0.155	0.748	0.147	0.631	0.841	0.845	0.277
X970288	288	0.523	0.134	0.189	0.115	0.439	0.211	0.841	0.047	0.25	0.119	0.212	0.015	0.249	0.544
X970296	296	0.689	0.406	0.746	0.392	0.942	0.75	0.689	0.33	0.351	0.546	0.885	0.278	0.462	0.665
X970299	299	0.377	0.079	0.185	0.073	0.162	0.255	0.553	0.101	0.132	0.007	0.116	0.002	0.589	0.105
X970307	307	0.549	0.323	0.887	0.29	0.191	0.699	0.886	0.475	0.726	0.267	0.375	0.193	0.974	0.054
X970312	312	0.163	0.014	0.086	0.013	0.02	0.806	0.896	0.938	0.96	0.321	0.54	0.476	0.096	0.016
X970323	323	0.729	0.894	0.89	0.921	0.021	0.955	0.724	0.702	0.981	0.935	0.848	0.854	0.348	0.854
X970325	325	0.2	0.018	0.226	0.02	0.137	0.016	0.291	0.002	0.176	0.014	0.296	0.819	0.321	0.649
X970327	327	0.154	0.045	0.259	0.053	0.066	0.835	0.72	0.308	0.353	0.828	0.684	0.622	0.744	0.615
X970338	338	0.193	0.074	0.282	0.085	0.192	0.67	0.625	0.816	0.601	0.19	0.204	0.39	0.04	0.103
X970342	342	0.036	0.475	0.568	0.354	0.455	0.697	0.565	0.079	0.477	0.869	0.601	0.205	0.06	0.016
X970343	343	0.337	0.031	0.201	0.029	0.585	0.795	0.854	0.147	0.423	0.609	0.623	0.186	0.957	0.047
X970345	345	0.774	0.231	0.648	0.233	0.293	0.237	0.245	0.111	0.884	0.603	0.235	0.154	0.939	0.242
X970346	346	0.247	0.842	0.054	0.878	0.143	0.004	0.009	0.015	0.648	0.006	0.89	0.545	0.323	0.06
X970349	349	0.016	0.838	0.147	0.984	0.17	0.593	0.844	0.949	0.848	0.603	0.819	0.661	0.48	0.381
X970350	350	0.164	0.827	0.29	0.891	0.004	0.485	0.723	0.045	0.116	0.259	0.581	0.033	0.336	0.776
X970358	358	0.788	0.162	0.808	0.164	0.326	0.731	0.534	0.789	0.517	0.805	0.539	0.986	0.433	0.43
X970359	359	0.611	0.437	0.396	0.421	0.001	0.49	0.64	0.594	0.484	0.522	0.903	0.406	0.62	0.284
X970361	361	0.965	0.949	0.726	0.975	0.331	0.076	0.382	0.063	0.582	0.699	0.373	0.134	0.555	0.383
X970366	366	0.656	0.718	0.587	0.625	0.551	0.216	0.181	0.753	0.22	0.114	0.859	0.158	0.974	0.566
X970375	375	0.412	0.836	0.564	0.696	0	0.364	0.538	0.884	0.705	0.556	0.985	0.721	0.92	0.482
X970380	380	0.806	0.001	0.208	0.001	0.031	0.346	0.254	0.298	0.837	0.33	0.905	0.939	0.798	0.277
X970381	381	0.747	0.617	0.562	0.538	0.123	0.442	0.2	0.518	0.164	0.586	0.596	0.406	0.786	0.429
X970389	389	0.062	0.427	0.145	0.493	0.808	0.643	0.623	0.585	0.98	0.71	0.932	0.947	0.05	0.993
X970393	393	0.509	0.924	0.293	0.905	0.447	0.057	0.647	0.353	0.802	0.655	0.994	0.796	0.059	0.864
X970411	411	0.928	0.771	0.93	0.753	0.021	0.257	0.879	0.714	0.725	0.179	0.289	0.423	0.37	0.867
X970412	412	0.687	0.221	0.205	0.184	0	0.695	0.849	0.334	0.632	0.348	0.424	0.183	0.588	0.094
X970414	414	0.729	0.656	0.962	0.616	0.012	0.364	0.03	0.004	0.001	0.022	0.924	0.001	0.698	0.174
X970425	425	0.883	0.619	0.85	0.617	0.133	0.179	0.407	0.021	0.373	0.892	0.495	0.108	0.331	0.199
X970428	428	0.462	0.873	0.284	0.86	0.361	0.62	0.638	0.515	0.953	0.932	0.694	0.628	0.971	0.55
X970432	432	0.272	0.747	0.65	0.668	0.224	0.399	0.744	0.379	0.75	0.389	0.401	0.222	0.304	0.637
X970454	454	0.735	0.066	0.241	0.052	0.007	0.533	0.51	0.463	0.975	0.266	0.212	0.188	0.258	0.02
X970472	472	0.382	0.082	0.063	0.063	0.007	0.04	0.437	0.673	0.387	0.325	0.881	0.306	0.124	0.002
X970474	474	0.488	0.246	0.432	0.176	0.47	0.984	0.942	0.386	0.539	0.13	0.303	0.088	0.337	0.264
X970480	480	0.023	0.652	0.033	0.716	0.324	0.365	0.479	0.384	0.985	0.462	0.309	0.264	0.507	0.882
X970482	482	0.745	0.184	0.458	0.193	0.956	0.079	0.048	0.072	0.708	0.079	0.865	0.849	0.402	0.088
X970497	497	0.75	0.816	0.575	0.731	0.01	0.971	0.635	0.307	0.308	0.586	0.472	0.807	0.136	0.767
X970502	502	0.036	0.973	0.019	0.941	0.762	0.946	0.237	0.856	0.306	0.119	0.783	0.189	0.076	0.679
X970504	504	0.488	0.097	0.883	0.082	0.499	0.985	0.599	0.84	0.784	0.027	0.052	0.066	0.268	0.965
X970509	509	0.844	0.358	0.989	0.372	0.004	0.624	0.976	0.549	0.716	0.376	0.517	0.289	0.73	0.493
X970512	512	0.972	0.161	0.856	0.155	0.004	0.368	0.944	0.089	0.291	0.684	0.736	0.159	0.73	0.437
X970515	515	0.02	0.267	0.057	0.224	0.999	0.834	0.978	0.37	0.549	0.504	0.65	0.278	0.324	0.605
X970517	517	0.156	0.347	0.065	0.339	0.904	0.479	0.349	0.929	0.438	0.247	0.141	0.405	0.552	0.067
X970519	519	0.257	0.252	0.28	0.268	0.029	0.674	0.629	0.205	0.65	0.195	0.21	0.074	0.34	0.189
X970522	522	0.077	0.834	0.433	0.711	0	0.985	0.888	0.266	0.541	0.923	0.867	0.429	0.248	0.739
X970524	524	0.108	0.911	0.065	0.891	0.096	0.915	0.307	0.974	0.421	0.759	0.347	0.83	0.275	0.845
X970533	533	0.227	0.092	0.371	0.107	0.009	0.738	0.21	0.134	0.992	0.214	0.081	0.058	0.081	0.208
X970536	536	0.957	0.037	0.523	0.031	0.598	0.401	0.282	0.983	0.401	0.41	0.182	0.536	0.139	0.583
X970538	538	0.768	0.51	0.554	0.492	0.951	0.822	0.547	0.338	0.282	0.558	0.99	0.288	0.739	0.127
X970543	543	0.459	0.008	0.263	0.007	0.286	0.39	0.185	0.129	0.973	0.349	0.113	0.093	0.548	0.002
X970544	544	0.176	0.266	0.147	0.277	0.742	0.896	0.816	0.802	0.734	0.61	0.599	0.818	0.991	0.2
X970549	549	0.29	0.933	0.412	0.98	0.009	0.766	0.943	0.492	0.698	0.937	0.915	0.615	0.3	0.333
X970563	563	0.228	0.301	0.54	0.257	0.156	0.835	0.919	0.109	0.264	0.39	0.591	0.093	0.532	0.072
X970564	564	0.524	0.731	0.682	0.837	0.989	0.151	0.819	0.379	0.458	0.12	0.206	0.523	0.316	0.5
X970573	573	0.981	0.021	0.516	0.017	0.018	0.495	0.938	0.128	0.353	0.632	0.694	0.179	0.197	0.042
X970577	577	0.971	0.67	0.717	0.635	0.539	0.607	0.607	0.286	0.281	0.771	0.57	0.64	0.974	0.887
X970587	587	0.623	0.058	0.926	0.05	0.059	0.224	0.128	0.107	0.897	0.909	0.315	0.337	0.47	0.075
X970599	599	0.089	0.071	0.028	0.066	0.568	0.488	0.844	0.457	0.742	0.094	0.29	0.411	0.181	0.401
X970614	614	0.962	0.544	0.903	0.556	0.886	0.666	0.393	0.898	0.566	0.386	0.226	0.455	0.297	0.906
X970625	625	0.025	0.567	0.005	0.551	0.188	0.571	0.397	0.311	0.996	0.722	0.396	0.356	0.46	0.452
X970633	633	0.906	0.28	0.494	0.251	0.384	0.794	0.602	0.864	0.611	0.732	0.542	0.879	0.636	0.617
X970638	638	0.017	0.363	0.002	0.35	0.064	0.955	0.409	0.996	0.529	0.876	0.487	0.902	0.491	0.796
X970649	649	0.04	0.776	0.114	0.869	0.209	0.751	0.619	0.138	0.559	0.123	0.15	0.035	0.979	0.964
X970659	659	0.955	0.847	0.927	0.848	0.103	0.28	0.386	0.072	0.607	0.987	0.532	0.237	0.578	0.901
X970663	663	0.575	0.753	0.9	0.826	0.002	0.406	0.355	0.055	0.054	0.138	0.685	0.02	0.379	0.178
X970664	664	0.322	0.103	0.143	0.094	0.362	0.717	0.955	0.792	0.9	0.672	0.795	0.877	0.159	0.511
X970677	677	0.809	0.235	0.951	0.217	0.108	0.906	0.754	0.133	0.226	0.122	0.187	0.824	0.03	0.106
X970680	680	0.479	0.578	0.667	0.479	0.152	0.879	0.875	0.067	0.283	0.618	0.643	0.119	0.059	0.27
X970687	687	0.069	0.641	0.088	0.691	0.062	0.246	0.107	0.184	0.695	0.127	0.95	0.746	0.038	0.959
X970688	688	0.012	0.688	0.035	0.783	0.303	0.658	0.007	0.058	0.001	0.104	0.414	0.016	0.495	0.766
X970692	692	0.554	0.263	0.205	0.234	0.793	0.499	0.586	0.288	0.272	0.763	0.55	0.648	0.959	0.287
X970706	706	0.449	0.881	0.954	0.973	0.233	0.338	0.871	0.326	0.449	0.069	0.234	0.045	0.287	0.806
X970707	707	0.601	0.482	0.11	0.54	0.122	0.893	0.748	0.89	0.875	0.939	0.778	0.882	0.434	0.149
X970717	717	0.333	0.112	0.199	0.107	0.886	0.783	0.367	0.319	0.961	0.301	0.174	0.155	0.571	0.027
X970718	718	0.649	0.266	0.664	0.271	0.12	0.985	0.856	0.504	0.57	0.815	0.97	0.543	0.89	0.556
X970731	731	0.169	0.332	0.017	0.284	0.001	0.109	0.649	0.202	0.631	0.667	0.986	0.618	0.731	0.01
X970732	732	0.626	0.266	0.418	0.254	0.053	0.219	0.407	0.26	0.176	0.12	0.598	0.058	0.676	0.116
X970737	737	0.329	0.579	0.524	0.627	0.01	0.087	0.417	0.078	0.596	0.631	0.813	0.433	0.958	0.992
X970745	745	0.226	0.935	0.292	0.979	0.19	0.079	0.11	0.381	0.5	0.049	0.781	0.331	0.672	0.825
X970784	784	0.955	0.191	0.527	0.168	0.717	0.51	0.552	0.671	0.467	0.397	0.857	0.358	0.744	0.059
X970791	791	0.149	0.344	0.284	0.299	0.033	0.797	0.322	0.199	0.959	0.12	0.075	0.047	0.365	0.106
X970813	813	0.524	0.593	0.932	0.524	0.002	0.454	0.32	0.326	0.166	0.19	0.818	0.105	0.918	0.352
X970860	860	0.088	0.301	0.401	0.242	0.041	0.717	0.317	0.479	0.754	0.27	0.14	0.195	0.214	0.464
X970932	932	0.66	0.902	0.255	0.849	0	0.936	0.89	0.457	0.559	0.21	0.427	0.152	0.532	0.883
X970960	960	0.091	0.638	0.282	0.73	0.593	0.813	0.29	0.585	0.642	0.228	0.112	0.204	0.379	0.901
