MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9400756		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1		Dn, < 0.1		
X9400757	Dn, < 0.1													
X9400758														Dn, < 0.01
X9400760	Up, < 0.1								Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400763		Dn, < 0.1												
X9400766				Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9400767		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1					
X9400770														Dn, < 0.1
X9400771					Dn, < 0.1									
X9400775								Up, < 0.1	Up, < 0.1					
X9400776												Up, < 0.1		
X9400777										Up, < 0.1				
X9400778													Dn, < 0.1	
X9400780														Dn, < 0.1
X9400783								Dn, < 0.1				Up, < 0.1		
X9400784							Up, < 0.1							
X9400785														Dn, < 0.1
X9400787														Dn, < 0.1
X9400796	Up, < 0.1													
X9400797	Up, < 0.1		Up, < 0.1											
X9400798							Dn, < 0.1		Up, < 0.1		Up, < 0.1			Up, < 0.1
X9400801													Up, < 0.1	
X9400806					Up, < 0.1			Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9400807						Dn, < 0.1								Dn, < 0.1
X9400808					Dn, < 0.001	Up, < 0.1								Up, < 0.1
X9400809		Dn, < 0.1		Dn, < 0.1	Up, < 0.1					Up, < 0.1		Up, < 0.1		Dn, < 0.1
X9400810													Dn, < 0.1	
X9400811													Dn, < 0.1	
X9400812													Up, < 0.1	
X9400813														Dn, < 0.01
X9400814		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9400816								Dn, < 0.1						
X9400824													Up, < 0.1	
X9400825								Up, < 0.1					Dn, < 0.1	
X9400826		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			
X9400828								Up, < 0.1						
X9400838	Dn, < 0.001	Up, < 0.1	Dn, < 0.1											
X9400845			Up, < 0.1		Dn, < 0.1						Up, < 0.1	Up, < 0.1		
X9400846								Dn, < 0.1				Up, < 0.1		
X9400848														Dn, < 0.01
X9400853												Up, < 0.1		
X9400855					Dn, < 0.1									
X9400858			Dn, < 0.1		Dn, < 0.1									
X9400859						Dn, < 0.1							Dn, < 0.01	Dn, < 0.01
X9400860					Up, < 0.1									
X9400861		Dn, < 0.1										Up, < 0.1		
X9400862					Up, < 0.1									
X9400863													Up, < 0.1	
X9400864						Dn, < 0.01		Dn, < 0.1					Dn, < 0.1	Dn, < 0.1
X9400865														Dn, < 0.01
X9400866	Up, < 0.1													
X9400867	Dn, < 0.1													
X9400868								Dn, < 0.1					Up, < 0.1	
X9400869														Dn, < 0.1
X9400872								Up, < 0.1						
X9400873													Up, < 0.1	
X9400876		Up, < 0.1	Dn, < 0.1	Up, < 0.1						Up, < 0.1		Up, < 0.1		Up, < 0.01
X9400878								Dn, < 0.1				Up, < 0.1		
X9400880	Up, < 0.1		Up, < 0.1					Dn, < 0.1					Up, < 0.1	
X9400881					Up, < 0.1									
X9400882								Dn, < 0.1					Up, < 0.1	
X9400884					Up, < 0.1			Up, < 0.1						
X9400887								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9400888								Up, < 0.1					Dn, < 0.1	
X9400892				Dn, < 0.1										Dn, < 0.01
X9400894								Up, < 0.1						
X9400895								Up, < 0.1						
X9400896													Up, < 0.1	
X9400897					Up, < 0.1					Up, < 0.1	Up, < 0.01	Up, < 0.1		
X9400901														Dn, < 0.1
X9400902								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9400904					Up, < 0.1			Up, < 0.01	Up, < 0.1				Dn, < 0.1	
X9400906		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9400908													Up, < 0.1	
X9400909										Up, < 0.1		Up, < 0.1		
X9400912		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9400913											Up, < 0.1			Dn, < 0.1
X9400914		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9400922													Up, < 0.1	
X9400923											Dn, < 0.1			
X9400924														Dn, < 0.1
X9400925														Dn, < 0.01
X9400927		Up, < 0.01		Up, < 0.01									Up, < 0.1	Up, < 0.1
X9400928		Up, < 0.1		Up, < 0.1										
X9400929		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1						
X9400931						Up, < 0.1	Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X9400934					Dn, < 0.01			Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9400938														Dn, < 0.1
X9400940					Up, < 0.1							Dn, < 0.1		
X9400941							Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9400942											Up, < 0.1			
X9400943								Dn, < 0.01				Up, < 0.01	Up, < 0.001	
X9400945														Dn, < 0.1
X9400946														Dn, < 0.1
X9400949								Dn, < 0.1				Up, < 0.1	Up, < 0.01	Up, < 0.1
X9400952													Dn, < 0.1	
X9400953	Up, < 0.1												Up, < 0.1	
X9400954								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9400955					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9400957				Dn, < 0.1		Dn, < 0.1		Dn, < 0.1				Up, < 0.1		
X9400959														Dn, < 0.1
X9400960			Up, < 0.1			Dn, < 0.1							Dn, < 0.1	
X9400962								Dn, < 0.1						
X9400964		Up, < 0.1	Dn, < 0.1	Up, < 0.1				Up, < 0.1						
X9400965		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.001
X9400966				Dn, < 0.1										Dn, < 0.001
X9400968			Dn, < 0.1											
X9400971					Up, < 0.1									
X9400972		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9400975		Up, < 0.1		Up, < 0.1										Up, < 0.01
X9400976		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9400978														Dn, < 0.1
X9400981													Up, < 0.1	
X9400982														Dn, < 0.1
X9400983				Up, < 0.1										
X9400984								Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9400986		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9400987										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9400988			Dn, < 0.1			Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				
X9400989			Up, < 0.1					Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9400990		Dn, < 0.1		Dn, < 0.1										
X9400992											Dn, < 0.1			Dn, < 0.1
X9400993					Up, < 0.1									
X9400994										Dn, < 0.1				Dn, < 0.1
X9400995					Dn, < 0.01									
X9400997					Up, < 0.1				Up, < 0.1					
X9400999										Dn, < 0.1				
X9401001								Dn, < 0.1					Up, < 0.1	Up, < 0.01
X9401002	Up, < 0.1													
X9401004							Dn, < 0.1						Up, < 0.1	
X9401007								Dn, < 0.1			Up, < 0.1	Up, < 0.1		Dn, < 0.1
X9401008	Dn, < 0.1													
X9401009							Dn, < 0.1							
X9401011								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9401012										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9401014														Dn, < 0.1
X9401015								Dn, < 0.1	Dn, < 0.1					
X9401017											Up, < 0.1	Up, < 0.1		
X9401019									Dn, < 0.1				Up, < 0.1	Up, < 0.1
X9401020	Dn, < 0.1		Dn, < 0.01						Up, < 0.1				Dn, < 0.1	
X9401021													Dn, < 0.001	
X9401022		Up, < 0.1		Up, < 0.1			Dn, < 0.1		Up, < 0.1					
X9401023	Dn, < 0.1		Dn, < 0.1				Up, < 0.1							
X9401024														Dn, < 0.01
X9401025														Dn, < 0.01
X9401026										Dn, < 0.1	Dn, < 0.1		Up, < 0.01	
X9401028		Up, < 0.1		Up, < 0.1										
X9401029								Dn, < 0.1	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9401030								Dn, < 0.1	Dn, < 0.1					
X9401031													Up, < 0.1	
X9401034														Dn, < 0.1
X9401036	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X9401037								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Dn, < 0.1
X9401038				Dn, < 0.1										Dn, < 0.1
X9401039					Dn, < 0.1	Up, < 0.1		Up, < 0.1						
X9401040								Up, < 0.1						
X9401043								Up, < 0.01	Up, < 0.01			Dn, < 0.01		
X9401046		Up, < 0.1		Up, < 0.1										
X9401048		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9401050			Up, < 0.1		Up, < 0.1			Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9401053		Up, < 0.1		Up, < 0.1										
X9401054														Dn, < 0.1
X9401055									Up, < 0.1					
X9401059					Up, < 0.1							Dn, < 0.1		
X9401061					Up, < 0.1			Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9401065	Up, < 0.1		Up, < 0.1											
X9401067					Up, < 0.1			Dn, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.01		
X9401070	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9401071								Dn, < 0.1				Up, < 0.1		
X9401072													Dn, < 0.1	Dn, < 0.1
X9401073						Dn, < 0.1	Dn, < 0.1							
X9401074												Up, < 0.1		
X9401076										Dn, < 0.1				
X9401077		Dn, < 0.1		Dn, < 0.1										
X9401079								Dn, < 0.1						
X9401080		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9401082										Up, < 0.1		Up, < 0.1	Dn, < 0.1	
X9401083													Dn, < 0.1	Dn, < 0.1
X9401084	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01										
X9401086		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9401087							Dn, < 0.1	Up, < 0.1	Up, < 0.01		Up, < 0.1		Dn, < 0.1	
X9401088	Up, < 0.1													
X9401092														Dn, < 0.1
X9401094	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X9401096		Dn, < 0.1		Dn, < 0.1										
X9401097				Up, < 0.1										
X9401098						Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.01		Dn, < 0.1		
X9401100														Dn, < 0.1
X9401101					Up, < 0.1									Dn, < 0.1
X9401102						Up, < 0.1				Up, < 0.1		Up, < 0.1	Up, < 0.1	
X9401104														Dn, < 0.01
X9401105					Up, < 0.1								Dn, < 0.1	
X9401106						Dn, < 0.1		Dn, < 0.1						Dn, < 0.1
X9401107	Dn, < 0.1											Dn, < 0.1		
X9401108	Dn, < 0.1													
X9401109														Dn, < 0.1
X9401111					Dn, < 0.1									
X9401112								Dn, < 0.1	Dn, < 0.1					
X9401115														Up, < 0.1
X9401116														Dn, < 0.1
X9401117	Up, < 0.1		Up, < 0.1											
X9401118								Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9401119														Dn, < 0.1
X9401121	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X9401123													Up, < 0.1	
X9401125		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9401129									Up, < 0.1					
X9401130					Dn, < 0.1									
X9401131														Dn, < 0.1
X9401132						Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X9401134								Dn, < 0.1						Dn, < 0.1
X9401136			Dn, < 0.1			Up, < 0.1		Up, < 0.1						
X9401138					Dn, < 0.1									
X9401140														Dn, < 0.1
X9401141					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9401144					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9401146														Dn, < 0.1
X9401147										Up, < 0.1		Up, < 0.1		
X9401148											Up, < 0.1			
X9401150						Dn, < 0.1								Dn, < 0.1
X9401151					Up, < 0.1	Up, < 0.01		Up, < 0.1		Up, < 0.1				
X9401152								Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9401154											Up, < 0.1	Up, < 0.1		
X9401155					Up, < 0.1							Up, < 0.1		
X9401158	Up, < 0.1												Up, < 0.1	
X9401161	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1										
X9401163					Up, < 0.1									
X9401164	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01										Up, < 0.1
X9401167													Up, < 0.1	
X9401168					Up, < 0.01									
X9401169	Up, < 0.001		Up, < 0.001										Up, < 0.001	
X9401170							Dn, < 0.1		Up, < 0.1					
X9401171								Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9401173								Up, < 0.1						
X9401174													Up, < 0.1	
X9401178					Dn, < 0.1					Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.1	
X9401179	Up, < 0.01		Up, < 0.1											
X9401181							Dn, < 0.1		Up, < 0.1					
X9401182					Dn, < 0.1						Dn, < 0.1	Dn, < 0.1		
X9401184		Dn, < 0.01		Dn, < 0.01								Up, < 0.1		Dn, < 0.1
X9401185		Dn, < 0.1		Dn, < 0.1										
X9401186													Dn, < 0.1	
X9401190				Dn, < 0.1										Dn, < 0.1
X9401191	Up, < 0.1													
X9401193	Up, < 0.1													Up, < 0.1
X9401194		Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.01	Up, < 0.01		Up, < 0.1						Up, < 0.1
X9401196	Up, < 0.1													
X9401198														Dn, < 0.1
X9401200														Up, < 0.1
X9401201						Up, < 0.1								
X9401202	Dn, < 0.1		Dn, < 0.1			Up, < 0.1		Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X9401205					Up, < 0.001					Up, < 0.1				
X9401206		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9401207													Up, < 0.1	
X9401208					Up, < 0.001									
X9401210							Dn, < 0.1				Up, < 0.1	Up, < 0.1		
X9401211								Dn, < 0.01	Dn, < 0.1	Up, < 0.1		Up, < 0.01	Up, < 0.1	
X9401216											Dn, < 0.1			Dn, < 0.1
X9401218													Up, < 0.1	
X9401220										Up, < 0.1				
X9401221		Up, < 0.1		Up, < 0.1	Dn, < 0.1					Up, < 0.1	Up, < 0.1			
X9401222		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9401224						Dn, < 0.1	Dn, < 0.1							
X9401226													Dn, < 0.1	Dn, < 0.01
X9401228					Dn, < 0.1									
X9401229		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9401231	Up, < 0.1													Up, < 0.1
X9401232														Dn, < 0.1
X9401234					Up, < 0.1								Up, < 0.1	
X9401235						Up, < 0.1								
X9401236					Up, < 0.01									
X9401237					Up, < 0.1								Dn, < 0.1	
X9401238	Up, < 0.1		Up, < 0.1		Dn, < 0.1									
X9401239													Up, < 0.1	
X9401240		Up, < 0.1		Up, < 0.1										
X9401241		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9401243			Up, < 0.1											
X9401244								Dn, < 0.1				Up, < 0.1		
X9401246								Dn, < 0.1				Up, < 0.1		
X9401248	Up, < 0.1		Up, < 0.1									Dn, < 0.1		
X9401249								Dn, < 0.1	Dn, < 0.1			Up, < 0.01	Up, < 0.001	
X9401253											Up, < 0.1	Up, < 0.1		Up, < 0.1
X9401254	Up, < 0.1													
X9401255			Dn, < 0.1								Dn, < 0.1			
X9401256						Dn, < 0.1	Dn, < 0.1				Up, < 0.1			
X9401257		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9401259	Up, < 0.1			Up, < 0.1								Dn, < 0.1		
X9401260								Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9401261					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9401263									Dn, < 0.1	Up, < 0.1		Up, < 0.1		
X9401267					Dn, < 0.1								Dn, < 0.1	
X9401268													Dn, < 0.1	Dn, < 0.1
X9401269														Dn, < 0.1
X9401270							Up, < 0.1	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1			
X9401272	Up, < 0.1							Dn, < 0.1		Up, < 0.1		Up, < 0.01		
X9401273					Dn, < 0.1								Up, < 0.1	
X9401274		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9401278	Up, < 0.1		Up, < 0.1											
X9401279			Up, < 0.1						Dn, < 0.1		Dn, < 0.1		Up, < 0.1	
X9401280	Up, < 0.1													
X9401281	Dn, < 0.1													
X9401284													Dn, < 0.1	
X9401285					Up, < 0.1							Up, < 0.1		
X9401287										Up, < 0.1		Up, < 0.1		
X9401288	Dn, < 0.1												Dn, < 0.1	Dn, < 0.01
X9401291					Up, < 0.1							Up, < 0.1	Up, < 0.1	
X9401294												Up, < 0.1		Dn, < 0.01
X9401296								Dn, < 0.01	Dn, < 0.1			Up, < 0.01		Dn, < 0.1
X9401298		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9401299								Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9401300						Up, < 0.1							Up, < 0.1	
X9401301					Up, < 0.1			Up, < 0.1	Up, < 0.01			Dn, < 0.01		
X9401303	Up, < 0.1													
X9401305								Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9401307		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9401308														Dn, < 0.1
X9401309					Dn, < 0.1	Up, < 0.1								
X9401310													Dn, < 0.1	
X9401311						Dn, < 0.1		Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Dn, < 0.1
X9401312					Dn, < 0.1					Dn, < 0.1				
X9401313														Dn, < 0.001
X9401315		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	
X9401317		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X9401319										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9401320								Dn, < 0.1				Up, < 0.1		
X9401321								Up, < 0.01	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9401322	Up, < 0.1				Up, < 0.01								Up, < 0.1	Dn, < 0.1
X9401323					Up, < 0.1								Up, < 0.1	
X9401324									Dn, < 0.1			Up, < 0.1		
X9401325													Dn, < 0.1	
X9401327													Dn, < 0.1	
X9401330														Dn, < 0.1
X9401332					Up, < 0.1			Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9401336		Dn, < 0.1		Dn, < 0.1	Up, < 0.001									Dn, < 0.1
X9401339	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1			Up, < 0.1							Up, < 0.1
X9401340	Dn, < 0.1		Dn, < 0.1											
X9401341														Dn, < 0.1
X9401343												Up, < 0.1		
X9401344										Up, < 0.1		Up, < 0.1		
X9401345														Dn, < 0.1
X9401346								Dn, < 0.1				Up, < 0.1		
X9401348		Dn, < 0.1		Dn, < 0.1		Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.001	Up, < 0.1			Dn, < 0.1
X9401349	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01										Up, < 0.1
X9401350							Up, < 0.1	Dn, < 0.1	Dn, < 0.01				Up, < 0.1	
X9401352		Dn, < 0.1		Dn, < 0.1									Dn, < 0.01	
X9401353		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9401355														Up, < 0.1
X9401356					Dn, < 0.01									Up, < 0.1
X9401357													Up, < 0.1	
X9401360										Up, < 0.1		Up, < 0.1		
X9401361		Dn, < 0.1		Dn, < 0.1										
X9401362													Up, < 0.1	
X9401363		Up, < 0.1	Dn, < 0.1	Up, < 0.1					Up, < 0.1					
X9401364	Dn, < 0.1							Up, < 0.01	Up, < 0.1			Dn, < 0.01		
X9401365								Dn, < 0.1	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9401366					Dn, < 0.1								Up, < 0.1	
X9401367													Dn, < 0.1	
X9401368	Up, < 0.1												Up, < 0.1	
X9401369			Dn, < 0.1		Dn, < 0.1			Up, < 0.1					Dn, < 0.1	
X9401370		Dn, < 0.1		Dn, < 0.1										
X9401381								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9401382								Dn, < 0.1					Up, < 0.1	
X9401383							Dn, < 0.1		Up, < 0.1				Up, < 0.1	
X9401385								Dn, < 0.1					Up, < 0.1	
X9401386	Dn, < 0.01		Dn, < 0.01											
X9401387					Up, < 0.1		Dn, < 0.1				Up, < 0.1			
X9401388													Up, < 0.1	
X9401390													Up, < 0.1	
X9401393								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9401395														Dn, < 0.1
X9401396					Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X9401399														Dn, < 0.01
X9401400												Up, < 0.1		
X9401401								Dn, < 0.1					Up, < 0.1	
X9401402	Up, < 0.1		Up, < 0.1		Dn, < 0.1									
X9401404														Dn, < 0.1
X9401406								Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9401407							Dn, < 0.1							Dn, < 0.1
X9401409					Up, < 0.1					Up, < 0.1	Up, < 0.1		Dn, < 0.1	
X9401410	Dn, < 0.1	Up, < 0.001	Dn, < 0.01	Up, < 0.001	Dn, < 0.1									Up, < 0.001
X9401411														Dn, < 0.1
X9401413														Dn, < 0.1
X9401415			Up, < 0.1			Dn, < 0.1		Dn, < 0.1						
X9401416						Up, < 0.1								
X9401417					Dn, < 0.1									
X9401419							Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X9401420		Dn, < 0.01		Dn, < 0.01									Dn, < 0.1	Dn, < 0.1
X9401421		Up, < 0.1		Up, < 0.1										
X9401422														Dn, < 0.1
X9401425	Up, < 0.1					Up, < 0.1							Up, < 0.1	
X9401428	Dn, < 0.1							Up, < 0.1	Up, < 0.1				Dn, < 0.01	
X9401431		Dn, < 0.1		Dn, < 0.1								Up, < 0.1		
X9401432		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	
X9401433	Up, < 0.1													Up, < 0.1
X9401437					Dn, < 0.1									
X9401438							Dn, < 0.1							
X9401442													Dn, < 0.1	
X9401443					Up, < 0.01									
X9401447	Up, < 0.1												Up, < 0.1	
X9401449					Dn, < 0.1									
X9401450														Dn, < 0.1
X9401452		Dn, < 0.1		Dn, < 0.1				Up, < 0.1						Dn, < 0.1
X9401453														Dn, < 0.1
X9401454														Up, < 0.1
X9401455													Up, < 0.01	
X9401456		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1				
X9401457	Up, < 0.01		Up, < 0.1										Up, < 0.01	
X9401458								Up, < 0.1	Up, < 0.1					
X9401459					Up, < 0.1									
X9401461			Up, < 0.1					Dn, < 0.01				Up, < 0.1	Up, < 0.01	
X9401462		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9401463										Up, < 0.1		Up, < 0.1		
X9401465	Up, < 0.01		Up, < 0.1				Dn, < 0.1							
X9401466								Up, < 0.1	Up, < 0.1					
X9401467		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9401470					Dn, < 0.1		Dn, < 0.1		Up, < 0.1					
X9401471												Up, < 0.1		
X9401472						Dn, < 0.1							Dn, < 0.1	Dn, < 0.1
X9401473								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9401476							Up, < 0.1	Dn, < 0.1	Dn, < 0.01			Up, < 0.1		
X9401478						Dn, < 0.1								Dn, < 0.1
X9401479								Dn, < 0.1				Up, < 0.1		
X9401484	Dn, < 0.1				Up, < 0.1					Up, < 0.1			Dn, < 0.1	
X9401485												Up, < 0.1	Dn, < 0.1	
X9401486								Dn, < 0.1						
X9401487														Up, < 0.1
X9401488			Dn, < 0.1				Up, < 0.1							
X9401489	Up, < 0.01		Up, < 0.1		Dn, < 0.1								Up, < 0.1	
X9401490		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9401491										Up, < 0.1				
X9401494			Dn, < 0.1										Dn, < 0.001	
X9401496	Dn, < 0.1	Up, < 0.1		Up, < 0.1	Up, < 0.1									
X9401498						Dn, < 0.001	Dn, < 0.01			Dn, < 0.001		Dn, < 0.1		
X9401500					Up, < 0.1			Up, < 0.1						
X9401501		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X9401503		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1					
X9401504		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1
X9401506												Up, < 0.1	Up, < 0.1	
X9401507					Up, < 0.1							Up, < 0.1		
X9401513												Up, < 0.1		
X9401514						Up, < 0.1							Up, < 0.1	
X9401516		Up, < 0.01	Dn, < 0.1	Up, < 0.01	Dn, < 0.01									
X9401517		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9401518					Up, < 0.1					Up, < 0.1	Up, < 0.01	Up, < 0.1	Dn, < 0.1	
X9401520				Dn, < 0.1										Dn, < 0.1
X9401521	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01										Up, < 0.1
X9401522		Up, < 0.1		Up, < 0.1										
X9401523			Dn, < 0.1					Up, < 0.1				Dn, < 0.1		
X9401525	Dn, < 0.01		Dn, < 0.01											
X9401526					Up, < 0.1							Up, < 0.1		
X9401531		Dn, < 0.01		Dn, < 0.01	Up, < 0.1									Dn, < 0.1
X9401534		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X9401535								Up, < 0.1				Dn, < 0.1		
X9401536					Dn, < 0.1									
X9401537	Up, < 0.1		Up, < 0.1		Dn, < 0.1								Up, < 0.1	
X9401539									Dn, < 0.1				Up, < 0.1	
X9401540														Dn, < 0.1
X9401543							Dn, < 0.1							
X9401544	Up, < 0.1	Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9401545	Up, < 0.1													
X9401546													Dn, < 0.1	
X9401547														Dn, < 0.1
X9401549	Up, < 0.01		Up, < 0.1							Up, < 0.1		Up, < 0.1		
X9401550														Dn, < 0.1
X9401552														Dn, < 0.1
X9401553								Dn, < 0.1				Up, < 0.1		
X9401555					Dn, < 0.1									Dn, < 0.01
X9401556					Dn, < 0.1									
X9401557				Dn, < 0.1										Dn, < 0.01
X9401558		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9401560	Up, < 0.1		Up, < 0.01				Up, < 0.1			Dn, < 0.1	Dn, < 0.01	Dn, < 0.1		
X9401565								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9401566	Dn, < 0.1													
X9401567														Dn, < 0.01
X9401568	Up, < 0.1								Dn, < 0.1				Up, < 0.1	
X9401574														Dn, < 0.1
X9401576				Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9401579													Up, < 0.1	
X9401580	Up, < 0.1		Up, < 0.1											
X9401581												Up, < 0.1		Dn, < 0.1
X9401583													Dn, < 0.1	
X9401585		Dn, < 0.1	Up, < 0.1	Dn, < 0.01										
X9401588		Up, < 0.1		Up, < 0.1		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1				
X9401589					Up, < 0.1									
X9401591						Dn, < 0.01		Dn, < 0.1						Dn, < 0.01
X9401592							Dn, < 0.1				Up, < 0.1			Dn, < 0.1
X9401593								Dn, < 0.01	Dn, < 0.1			Up, < 0.1		
X9401594					Dn, < 0.1									
X9401596		Dn, < 0.1		Dn, < 0.1										Dn, < 0.001
X9401597														Dn, < 0.1
X9401598				Up, < 0.1										
X9401601							Dn, < 0.1		Up, < 0.1					
X9401602													Up, < 0.1	Dn, < 0.1
