Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
2478	0.002	0.33	0.641
2479	0.038	0.193	0.343
2481	0.037	0.214	0.059
2483	0.007	0.255	0.617
2484	0.111	0.132	0.483
2485	0.015	0.126	0.231
2486	0.12	0.459	1.287
2489	0.77	1.303	0.119
2490	0.472	0.829	1.731
2491	0.956	0.311	0.553
2492	1.168	1.058	0.614
2493	0.159	0.103	0.585
2494	0.004	0.538	0.395
2496	0.97	1.027	0.285
2497	0.872	1.164	0.476
2498	0.884	0.629	0.911
2500	2.53	2.078	0.183
2501	0.171	0.413	0.671
2502	0.021	0.164	0.293
2503	0.539	0.38	0.477
2504	1.212	1.677	0.58
2505	0.823	0.584	2.219
2506	0.203	0.144	1.763
2507	0.228	0.101	0.306
2508	0.442	0.165	0.386
2509	0.192	0.372	0.999
2510	0.647	0.205	0.969
2511	0.293	1.03	0.573
2512	0.563	0.336	0.392
2513	0.416	1.016	0.118
2514	0.028	0.172	0.058
2515	0.155	0.477	0.114
2516	0.644	1.915	0.014
2517	0.519	0.027	1.054
2518	0.158	0.131	0.664
