Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
3090		< 0.1	
3092		< 0.1	< 0.1
3094	< 0.1	< 0.1	< 0.1
3095			< 0.1
3099	< 0.1		< 0.1
3104			< 0.1
3105	< 0.1	< 0.1	
3107		< 0.1	
3110	< 0.1	< 0.1	
3114	< 0.01	< 0.001	
3115	< 0.1	< 0.01	
3116	< 0.01	< 0.01	< 0.01
3120	< 0.1		
3121	< 0.1	< 0.1	
3124	< 0.1	< 0.1	
3127	< 0.1	< 0.1	
3130	< 0.1	< 0.1	
3131			< 0.1
3133	< 0.1		
3136	< 0.1		
3138			< 0.1
3144		< 0.1	
3146	< 0.1	< 0.1	
3147	< 0.01	< 0.01	
3153			< 0.1
3159	< 0.1		
3160	< 0.1	< 0.1	
3164			< 0.1
3165	< 0.01	< 0.01	
3168		< 0.1	
3169			< 0.1
3170		< 0.1	
3174	< 0.1	< 0.01	
3175			< 0.001
3177	< 0.1	< 0.1	
3178		< 0.1	
3179	< 0.1		< 0.1
3182	< 0.1	< 0.01	
3186			< 0.1
3189			< 0.1
3190	< 0.01	< 0.01	
3193	< 0.1		< 0.01
3195	< 0.1	< 0.01	
3196			< 0.1
3198	< 0.1	< 0.1	
3199		< 0.1	
3200		< 0.01	
3204		< 0.1	
3206	< 0.01	< 0.001	
3215	< 0.1	< 0.1	< 0.1
3219	< 0.1		< 0.1
3227	< 0.01	< 0.001	
3228	< 0.1	< 0.1	
3233		< 0.1	
3236	< 0.1	< 0.1	
3238		< 0.1	
3240			< 0.1
3242			< 0.1
3244			< 0.1
3248	< 0.1		
3250	< 0.1	< 0.1	
3251	< 0.1	< 0.1	
3253		< 0.1	
3261	< 0.1	< 0.01	
3264	< 0.1	< 0.1	
3266	< 0.1		< 0.1
3268	< 0.1	< 0.1	
3269	< 0.1	< 0.01	
3271	< 0.01	< 0.1	
3274	< 0.1	< 0.1	
3278		< 0.01	
3280			< 0.1
3281			< 0.01
3284	< 0.1	< 0.1	
3285		< 0.1	< 0.001
3288	< 0.1	< 0.01	
3297	< 0.1		
3302	< 0.1	< 0.1	
3305	< 0.1	< 0.1	
3308	< 0.01	< 0.01	
3310	< 0.1	< 0.1	
3312	< 0.1	< 0.01	
3317	< 0.1	< 0.1	
3323	< 0.1	< 0.01	
3324	< 0.1		
3326	< 0.1	< 0.01	
3327	< 0.1	< 0.1	
3336	< 0.1	< 0.01	
3337	< 0.1		
3339	< 0.01	< 0.1	
3340	< 0.1	< 0.01	
3342	< 0.1	< 0.1	
3343	< 0.1	< 0.1	< 0.01
3344	< 0.1	< 0.01	< 0.1
3345	< 0.01	< 0.1	
3346	< 0.1	< 0.1	
3347	< 0.001	< 0.001	< 0.1
3348			< 0.1
3349			< 0.1
3351	< 0.1		< 0.1
3358			< 0.1
3362	< 0.01	< 0.01	
3363	< 0.1	< 0.1	< 0.1
3365		< 0.1	
3366	< 0.1	< 0.01	
3367	< 0.1	< 0.1	
3369			< 0.1
3372	< 0.01	< 0.001	< 0.01
3377			< 0.1
3378	< 0.001	< 0.1	< 0.1
3379			< 0.1
3382		< 0.1	
3383			< 0.1
3385	< 0.01	< 0.01	< 0.001
3388	< 0.001	< 0.001	
3390	< 0.1	< 0.1	
3391	< 0.1	< 0.1	
3397	< 0.1	< 0.1	
3398		< 0.1	
3402		< 0.1	< 0.1
3405	< 0.1	< 0.01	
3408			< 0.1
3409	< 0.01	< 0.1	
3410		< 0.01	
3413		< 0.1	
3416	< 0.1	< 0.01	
3417		< 0.1	
3420	< 0.1	< 0.1	
3422	< 0.1		
3423	< 0.1		
3433	< 0.1	< 0.1	
3434	< 0.1		
3435			< 0.01
3436		< 0.1	
3437	< 0.1	< 0.1	
3438	< 0.1	< 0.1	
3442			< 0.1
3443			< 0.1
3450		< 0.1	
3452			< 0.1
3454	< 0.1		
3458		< 0.1	< 0.001
3459			< 0.1
3460	< 0.1	< 0.001	
3461	< 0.1		
3463		< 0.1	
3466	< 0.01	< 0.001	
3468	< 0.1		< 0.1
3471		< 0.1	< 0.1
3472	< 0.1		
3473	< 0.1	< 0.01	
3476	< 0.1		
3481	< 0.1	< 0.01	
3482	< 0.1	< 0.1	
3485			< 0.1
3486	< 0.1		
3489			< 0.1
3492			< 0.1
3494	< 0.1		
3495	< 0.1	< 0.01	
3503	< 0.001	< 0.001	< 0.1
3507		< 0.1	
3509	< 0.001	< 0.001	
3510		< 0.1	
3511	< 0.1	< 0.1	
3513	< 0.01	< 0.01	
3514	< 0.1	< 0.001	
3515			< 0.1
3517			< 0.01
3518	< 0.01	< 0.001	
3523	< 0.1	< 0.1	
3524	< 0.1		
3525			< 0.01
3528	< 0.1	< 0.01	
3532		< 0.1	
3533	< 0.1	< 0.01	
3535			< 0.1
3536	< 0.01	< 0.1	
3540	< 0.1		
3542		< 0.1	
3544			< 0.01
3545	< 0.1		
3546	< 0.1	< 0.1	
3548		< 0.1	
3551		< 0.1	
3554			< 0.1
3555	< 0.1	< 0.1	
3557	< 0.1		
3558	< 0.1	< 0.1	
3559	< 0.1	< 0.1	
3560	< 0.1	< 0.01	
3562		< 0.1	< 0.1
3564			< 0.1
3565	< 0.1	< 0.1	
3568	< 0.01	< 0.01	
3571			< 0.1
3582	< 0.1	< 0.1	
3588			< 0.1
3590			< 0.1
3595	< 0.1	< 0.01	
3598	< 0.1	< 0.01	
3599	< 0.01	< 0.001	
3606	< 0.1	< 0.1	
3607	< 0.1	< 0.1	< 0.1
3608	< 0.01	< 0.1	
3609	< 0.01	< 0.001	
3611	< 0.1	< 0.1	
3612			< 0.1
3613	< 0.1		
3614	< 0.1		
3615			< 0.1
3616	< 0.1	< 0.1	
3617	< 0.1	< 0.1	
3620	< 0.001	< 0.001	< 0.1
3621	< 0.1	< 0.1	
3622		< 0.1	
3625	< 0.1	< 0.01	
3626			< 0.1
3627	< 0.1		
3630			< 0.1
3631	< 0.1	< 0.1	
3634			< 0.1
3637	< 0.1	< 0.01	
3645	< 0.1	< 0.01	< 0.1
3648			< 0.1
3650			< 0.1
3655			< 0.01
3656		< 0.1	
3657	< 0.1	< 0.1	< 0.1
3658	< 0.01	< 0.01	
3660		< 0.1	
3663	< 0.01	< 0.1	
3665		< 0.1	
3670	< 0.1	< 0.1	< 0.1
3675			< 0.1
3680	< 0.1	< 0.1	
3689	< 0.01	< 0.001	
3694	< 0.1	< 0.1	< 0.1
3699	< 0.001	< 0.001	< 0.01
3700		< 0.1	
3701	< 0.1	< 0.1	
3706		< 0.1	
3712	< 0.1	< 0.1	
3720	< 0.1	< 0.01	
3723	< 0.1	< 0.1	< 0.1
3726			< 0.1
3731	< 0.1	< 0.01	< 0.1
3732	< 0.1	< 0.1	
3733			< 0.1
3735	< 0.1		
3740	< 0.1	< 0.1	
3744	< 0.001	< 0.001	< 0.1
3747		< 0.1	< 0.1
3748	< 0.1	< 0.1	
3749			< 0.1
3750			< 0.1
3751	< 0.1		
3757		< 0.1	
3758	< 0.01	< 0.1	
3761		< 0.1	
3763	< 0.1	< 0.1	
3766		< 0.1	
3767	< 0.1	< 0.1	< 0.01
3769	< 0.1	< 0.1	
3770	< 0.1	< 0.1	
3773			< 0.1
3774			< 0.1
3775	< 0.1	< 0.01	
3776	< 0.01	< 0.001	
3782			< 0.1
3784	< 0.01	< 0.001	
3790	< 0.001	< 0.001	< 0.1
3797	< 0.01	< 0.1	
3805	< 0.1	< 0.1	
3809	< 0.1		< 0.1
3811	< 0.1	< 0.01	
3818		< 0.1	< 0.1
3828	< 0.1		
3831	< 0.1	< 0.1	
3836		< 0.1	
3843	< 0.01	< 0.01	
3862			< 0.1
3863			< 0.1
3864			< 0.1
3865	< 0.1	< 0.1	
3869			< 0.1
3874			< 0.1
3886	< 0.01	< 0.1	
3889	< 0.1	< 0.1	
3892			< 0.01
3899			< 0.1
3902	< 0.01	< 0.1	< 0.001
3906	< 0.1	< 0.1	< 0.001
3909	< 0.1	< 0.1	
3912	< 0.01	< 0.001	
3914			< 0.1
3915		< 0.1	
3918			< 0.1
3919			< 0.1
3928		< 0.1	
3937		< 0.1	
3943		< 0.1	< 0.1
3945			< 0.1
3946			< 0.1
3948			< 0.1
3950	< 0.1	< 0.1	
3953			< 0.1
3960	< 0.1	< 0.1	
3961			< 0.1
3976	< 0.001	< 0.01	
