Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
1759	0.038	-0.103	-0.067
1760	-0.458	-0.012	1.577
1762	-0.411	-0.467	-0.151
1764	-0.125	-0.009	-1.402
1765	-0.231	-0.338	0.547
1766	-0.46	-1.061	-0.397
1767	-0.013	0.129	0.599
1768	0.115	-0.018	-0.282
1769	0.427	0.268	0.213
1770	-0.992	-0.917	-0.287
1771	-0.68	-1.273	0.126
1772	-0.49	-0.145	0.568
1773	0.352	0.468	-0.175
1775	0.259	0.514	0.854
1776	-0.113	-0.268	0.564
1778	0.789	0.453	0.183
1779	-0.574	-1.843	0.155
1780	-0.487	-1.133	0.76
1781	-0.1	0.069	-0.687
1784	-0.059	0.12	0.269
1785	-0.304	-0.077	-1.328
1786	-1.585	-1.266	1.803
1787	-0.493	-1.019	0.929
1788	-0.967	-0.635	1.018
1789	-0.663	-0.736	0.277
1790	0.208	0.008	0.083
1791	-0.586	-0.251	0.529
1792	0.389	0.559	0.152
1793	-0.275	-0.92	0.858
1794	-1.656	-2.362	0.656
1795	0.066	-0.379	-1.381
1796	-0.01	-0.039	-0.207
1797	-0.143	-0.604	0.104
1798	-0.076	-0.679	0.37
1800	0.083	-0.187	-2.107
1801	0.136	-0.054	0.29
1803	0.541	0.069	-0.344
1804	0.652	0.534	-2.166
1805	-0.222	-0.315	-0.649
1807	0.07	-0.092	-0.764
1808	-0.1	-0.257	-0.033
1809	0.497	0.076	-0.087
1810	-1.442	-1.831	-0.307
1811	0.348	0.137	-0.147
1812	0.088	0.072	-0.414
1813	0.166	-0.06	0.158
1814	0.18	0.282	-0.738
1815	1.477	0.635	-0.638
1816	0.014	-0.069	-0.75
1818	-0.752	-0.823	0.752
1819	-1.621	-1.182	-0.052
1820	-0.213	-0.957	1.077
1821	-0.598	-0.42	0.813
1822	0.026	-0.241	0.289
1823	-0.184	-0.47	0.586
1824	-0.158	-0.083	0.005
1825	-1.826	-1.869	0.858
1826	-2.012	-2.161	0.267
1827	-0.398	-0.66	-0.233
1828	0.311	-0.067	-0.242
1829	-0.213	-0.486	-0.053
1830	0.186	0.176	-0.067
1831	0.369	0.14	-0.622
1832	-0.653	-0.914	-0.052
1833	-0.034	-0.663	-0.174
1834	-0.325	-0.371	1.484
1835	0.268	0.149	0.196
1836	0.325	0.149	-0.703
1837	0.088	0.206	-0.158
1838	-0.03	-0.159	-0.394
1839	-1.067	-0.831	0.769
