Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1033	0.088	0.013	0.874
1034	0.564	0.333	0.859
1035	0.395	0.105	0.436
1036	0.847	0.898	0.641
1037	0.796	0.792	0.281
1039	0.137	0.712	0.325
1040	0.449	0.611	0.835
1041	0.845	0.828	0.923
1042	0.51	0.593	0.691
1043	0.571	0.305	0.616
1045	0.273	0.36	0.592
1046	0.736	0.994	0.112
1047	0.669	0.607	0.75
1048	0.891	0.549	0.959
1049	0.413	0.539	0.451
1051	0.598	0.652	0.396
1052	0.222	0.521	0.1
1053	0.035	0.048	0.743
1054	0.302	0.178	0.271
1055	0.697	0.589	0.612
1056	0.694	0.982	0.048
1057	0.777	0.467	0.821
1058	0.039	0.004	0.129
1059	0.513	0.739	0.995
1060	0.082	0.117	0.41
1061	0.417	0.886	0.312
1063	0.452	0.159	0.719
1064	0.116	0.087	0.506
1065	0.509	0.512	0.832
1066	0.753	0.873	0.985
1067	0.447	0.931	0.395
1068	0.105	0.01	0.511
1069	0.944	0.831	0.997
1070	0.064	0.147	0.101
1071	0.757	0.852	0.073
1072	0.027	0.009	0.237
1073	0.838	0.651	0.065
1074	0.444	0.182	0.383
1075	0.14	0.145	0.628
1076	0.016	0.017	0.22
1078	0.561	0.787	0.158
1079	0.625	0.957	0.596
1080	0.774	0.585	0.456
1081	0.677	0.668	0.956
1082	0.102	0.113	0.745
1083	0.172	0.265	1
1085	0.501	0.03	0.19
1087	0.124	0.488	0.496
1088	0.526	0.299	0.83
1089	0.399	0.641	0.74
1090	0.612	0.458	0.144
1091	0.419	0.616	0.865
1092	0.202	0.01	0.872
1093	0.985	0.905	0.641
1095	0.004	0.002	0.118
1096	0.425	0.887	0.136
1097	0.205	0.671	0.65
1098	0.663	0.72	0.433
1099	0.618	0.533	0.009
1100	0.002	0	0.079
1101	0.58	0.445	0.855
1102	0.218	0.122	0.113
1103	0.426	0.846	0.196
1104	0.119	0.057	0.294
1105	0.444	0.185	0.557
1106	0.071	0.088	0.672
