Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
1055	0.486	0.683	0.212
1057	-0.076	-0.445	-0.024
1059	0.005	-0.009	-0.232
1060	0.24	0.794	0.348
1061	0.384	0.401	-0.148
1065	1.536	1.552	-0.272
1066	0.189	-0.04	0.167
1067	-0.033	-0.029	-0.374
1069	-0.306	-0.09	-0.66
1070	-1.008	-1.287	-0.009
1071	-0.02	-0.112	0.141
1072	-0.045	-0.438	-0.338
1073	-0.193	-0.582	-0.351
1074	0.805	0.346	0.553
1075	-0.037	-0.172	0.013
1076	0.291	-0.104	-0.291
1077	-0.14	0.062	-1.569
1079	-0.147	0.041	0.9
1080	0.112	0.297	1.09
1082	-0.522	-0.801	0.001
1083	-0.194	-0.854	-0.734
1084	-1.369	-1.086	2.124
1085	0.465	0.381	0.105
1086	0.922	0.092	-1.366
1087	-0.27	-0.324	0.256
1088	0.38	1.335	0.276
1090	0.059	-0.241	0.035
1092	-0.062	-0.736	-0.454
1094	1.124	1.159	0.475
1096	-0.34	-0.495	-1.804
1097	-0.275	0.018	0.979
1098	-0.338	0.07	0.621
1100	-0.227	-0.812	-0.392
1101	0.181	-0.036	-0.725
1102	-0.352	0.252	-0.774
1103	-0.131	0.054	-0.697
1104	-0.207	-0.844	-0.742
1105	-0.441	-0.226	-0.789
1106	0.119	-0.066	-0.225
1107	-0.596	-1.719	0.513
1108	-0.869	-1.855	-0.215
1109	-0.162	-0.602	-0.405
1110	-0.342	0.211	-0.661
1111	-0.528	-0.293	0.437
1112	0.373	0.439	0.261
1115	-0.286	0.034	0.519
1116	-0.065	-0.504	-0.539
1117	1.464	1.275	0.278
1118	0.248	0.533	0.781
1119	0.31	-0.014	-0.575
1121	1.474	1.356	0.242
1122	0.063	0.183	-0.803
1123	-0.008	-0.013	-0.144
1125	-0.041	-0.546	-1.009
1129	-0.178	-0.607	0.055
1130	0.145	-0.003	0.284
1131	0.125	-0.129	0.124
1132	-0.329	0.031	0.36
1133	-0.161	0.121	-0.916
1134	0.498	0.109	-0.642
