Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
2082	0.329	0.219	0.532
2084	0.721	0.93	0.3
2085	0.096	0.542	0.201
2086	0.21	0.513	0.001
2088	0.617	0.604	0.838
2089	0.028	0.007	0.474
2091	0.978	0.874	0.565
2092	0.999	0.734	0.564
2093	0.374	0.898	0.699
2094	0.399	0.133	0.776
2095	0.086	0.689	0.214
2096	0.863	0.831	0.121
2097	0.53	0.695	0.854
2100	0.968	0.619	0.06
2101	0.462	0.946	0.477
2102	0.15	0.234	0.194
2103	0.759	0.708	0.052
2104	0.193	0.264	0.809
2105	0.518	0.103	0.003
2107	0.616	0.745	0.493
2111	0.658	0.372	0.831
2112	0.204	0.24	0.224
2113	0.051	0.084	0.14
2115	0.806	0.58	0.421
2117	0.98	0.839	0.598
2120	0.281	0.134	0.002
2122	0.325	0.41	0.015
2124	0.722	0.755	0.684
2125	0.351	0.078	0.141
2127	0.034	0.093	0.046
2128	0.745	0.635	0.825
2130	0.888	0.467	0.506
2132	0.814	0.792	0.134
2133	0.785	0.312	0.418
2135	0.88	0.766	0.059
2136	0.451	0.418	0.425
2139	0.647	0.612	0.322
2140	0.078	0.318	0.972
2141	0.367	0.519	0.083
2142	0.824	0.871	0.041
2143	0.524	0.937	0.309
2144	0.712	0.218	0.102
2150	0.647	0.304	0.403
2151	0.985	0.796	0.923
2152	0.025	0.045	0.89
2156	0.601	0.795	0.237
2157	0.822	0.856	0.819
2158	0.66	0.487	0.234
2161	0.103	0.07	0.033
2162	0.486	0.41	0.446
2164	0.818	0.776	0.247
2165	0.478	0.788	0.507
2166	0.143	0.345	0.341
2167	0.713	0.748	0.029
2169	0.173	0.038	0.442
2171	0.143	0.417	0.452
2172	0.408	0.649	0.68
2175	0.889	0.484	0.132
2176	0.29	0.755	0.192
2177	0.36	0.607	0.295
2178	0.35	0.623	0.329
2181	0.595	0.8	0.415
2182	0.266	0.33	0.005
2187	0.601	0.875	0.632
2188	0.224	0.306	0.387
2189	0.318	0.036	0.145
2190	0.177	0.319	0.291
2192	0.16	0.681	0.081
2194	0.596	0.307	0.795
2197	0.855	0.612	0.976
2199	0.839	0.798	0.922
2202	0.548	0.062	0.08
2203	0.882	0.973	0.612
2204	0.572	0.365	0.928
2205	0.995	0.747	0.951
2207	0.713	0.351	0.439
2209	0.293	0.666	0.401
2211	0.289	0.522	0.575
2213	0.129	0.119	0.961
2214	0.653	0.402	0.064
2215	0.8	0.667	0.003
2216	0.848	0.458	0.656
2217	0.572	0.495	0.315
2223	0.516	0.15	0.524
2224	0.438	0.35	0.149
2225	0.435	0.284	0.356
2227	0.882	0.725	0.349
2228	0.781	0.462	0.493
2232	0.956	0.677	0.664
2233	0.769	0.76	0.361
2234	0.183	0.018	0.838
2235	0.366	0.464	0.903
2236	0.676	0.312	0.563
2238	0.591	0.428	0.639
2239	0.359	0.132	0.504
2240	0.706	0.539	0.613
2245	0.715	0.309	0.325
2246	0.122	0.357	0.816
2247	0.965	0.354	0.202
