Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
3612			Dn, < 0.1
3624			Dn, < 0.01
3633	Up, < 0.1	Up, < 0.1	
3641			Dn, < 0.1
3643			Dn, < 0.1
3645		Dn, < 0.1	
3647			Dn, < 0.001
3650	Up, < 0.1		Dn, < 0.001
3652	Up, < 0.01	Up, < 0.1	
3656			Dn, < 0.01
3658	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3663	Up, < 0.1		
3664	Up, < 0.1		Dn, < 0.1
3666			Dn, < 0.01
3670			Up, < 0.1
3675	Up, < 0.1		
3678			Dn, < 0.001
3679	Dn, < 0.1		Up, < 0.1
3690			Dn, < 0.1
3693			Dn, < 0.1
3694			Dn, < 0.1
3697			Dn, < 0.1
3701			Dn, < 0.1
3712			Dn, < 0.1
3714			Up, < 0.1
3719			Dn, < 0.1
3726			Up, < 0.1
3729			Dn, < 0.1
3733	Up, < 0.1	Up, < 0.1	Dn, < 0.01
3737			Up, < 0.01
3740			Dn, < 0.1
3743	Up, < 0.1		
3744	Up, < 0.1		Dn, < 0.1
3751			Dn, < 0.1
3761			Dn, < 0.1
3763			Dn, < 0.1
3770			Dn, < 0.1
3781		Dn, < 0.1	Dn, < 0.1
3782		Up, < 0.1	
3788	Up, < 0.1		Dn, < 0.01
3789	Up, < 0.1	Up, < 0.1	
3791			Dn, < 0.1
3792	Up, < 0.1		Dn, < 0.001
3797			Dn, < 0.1
3800		Up, < 0.1	
3806			Dn, < 0.1
3808	Up, < 0.1	Up, < 0.1	
3813	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
3814			Dn, < 0.1
3822			Dn, < 0.01
3828			Dn, < 0.1
3838	Dn, < 0.1		
3850	Dn, < 0.1		Up, < 0.1
3860		Dn, < 0.1	
3873			Up, < 0.1
3880			Up, < 0.1
3883			Dn, < 0.001
3889			Up, < 0.01
3893	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3900			Up, < 0.1
3908			Up, < 0.1
3918	Dn, < 0.1	Dn, < 0.1	
3921			Up, < 0.1
3923			Up, < 0.1
3925			Up, < 0.1
3934	Dn, < 0.1	Dn, < 0.1	
3938			Up, < 0.1
3940			Dn, < 0.1
3942			Up, < 0.1
3952		Up, < 0.1	
3953			Dn, < 0.1
3957			Up, < 0.1
3959		Dn, < 0.1	Up, < 0.01
3960			Up, < 0.1
3961	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3967			Up, < 0.1
3969			Up, < 0.1
3980	Dn, < 0.1	Dn, < 0.1	
3987	Up, < 0.1		
3992			Up, < 0.1
3993	Dn, < 0.1	Dn, < 0.1	
3996	Dn, < 0.1		
3997	Dn, < 0.01	Dn, < 0.1	
4008			Up, < 0.1
4012		Dn, < 0.1	Up, < 0.1
4015			Up, < 0.1
4016		Dn, < 0.1	Up, < 0.1
4021		Dn, < 0.1	
4024			Up, < 0.1
4026			Up, < 0.1
4030			Dn, < 0.1
4035		Dn, < 0.1	
4037			Dn, < 0.1
4039			Up, < 0.001
4043	Dn, < 0.1		
4052			Up, < 0.1
4053	Dn, < 0.1	Dn, < 0.1	
4054	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
4056			Up, < 0.1
4057			Up, < 0.1
4058			Up, < 0.1
4059		Dn, < 0.1	
4060	Up, < 0.1	Up, < 0.1	
4061	Up, < 0.1	Up, < 0.1	
4062	Dn, < 0.1	Dn, < 0.01	
4074			Up, < 0.01
4076	Dn, < 0.1		
4077			Up, < 0.1
4080	Dn, < 0.01	Dn, < 0.01	Up, < 0.01
4081			Dn, < 0.01
4083			Up, < 0.1
4084			Up, < 0.1
4085	Dn, < 0.1		
4086	Dn, < 0.1		
4097	Up, < 0.1		Dn, < 0.1
4098		Up, < 0.1	
4102	Dn, < 0.1	Dn, < 0.1	
4111			Dn, < 0.1
4114			Dn, < 0.01
4115		Dn, < 0.1	Up, < 0.1
4117			Dn, < 0.1
4121	Up, < 0.1	Up, < 0.1	Dn, < 0.1
4124			Dn, < 0.1
4129			Up, < 0.1
4137			Up, < 0.1
4139			Up, < 0.1
4141			Up, < 0.1
4143	Up, < 0.1	Up, < 0.1	
4152	Dn, < 0.1	Dn, < 0.1	
4165			Up, < 0.1
4166	Dn, < 0.1		
4167			Up, < 0.1
4177			Dn, < 0.1
4178	Dn, < 0.1		
4181			Up, < 0.01
4183			Dn, < 0.1
4188	Dn, < 0.1		
4192			Up, < 0.1
4201		Dn, < 0.1	Up, < 0.1
4202			Dn, < 0.1
4203	Up, < 0.01	Up, < 0.001	
4209			Up, < 0.1
4210		Dn, < 0.1	
4216			Dn, < 0.1
4217			Up, < 0.1
4222	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
