Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2589			Up, < 0.1
2591	Dn, < 0.1		Up, < 0.01
2598	Dn, < 0.01	Dn, < 0.1	
2600	Dn, < 0.1	Dn, < 0.1	
2601			Up, < 0.1
2603	Dn, < 0.01	Dn, < 0.01	
2609			Up, < 0.1
2611			Up, < 0.1
2615			Up, < 0.1
2616	Dn, < 0.1	Dn, < 0.1	
2619	Dn, < 0.1	Dn, < 0.1	
2621	Dn, < 0.1	Dn, < 0.1	Dn, < 0.01
2626	Up, < 0.1	Up, < 0.1	Dn, < 0.1
2627		Dn, < 0.1	Up, < 0.01
2639			Dn, < 0.1
2641			Dn, < 0.1
2642	Dn, < 0.1	Dn, < 0.01	
2646			Up, < 0.1
2650			Up, < 0.1
2652	Dn, < 0.1	Dn, < 0.1	
2653			Up, < 0.1
2658	Up, < 0.01	Up, < 0.1	Up, < 0.1
2659			Up, < 0.1
2660			Up, < 0.1
2664		Dn, < 0.1	
2665			Up, < 0.1
2667	Dn, < 0.1	Dn, < 0.1	
2673			Dn, < 0.1
2674			Up, < 0.1
2678			Dn, < 0.1
2687	Dn, < 0.1	Dn, < 0.1	
2690	Dn, < 0.1		Up, < 0.1
2691	Dn, < 0.1		Up, < 0.001
2696		Up, < 0.1	Up, < 0.1
2697	Dn, < 0.01	Dn, < 0.1	
2698	Dn, < 0.1	Dn, < 0.1	Dn, < 0.01
2699	Dn, < 0.1	Dn, < 0.01	
2700	Dn, < 0.01	Dn, < 0.1	
2702			Up, < 0.1
2703			Dn, < 0.1
2705	Dn, < 0.1		
2706			Up, < 0.1
2711	Dn, < 0.1	Dn, < 0.1	
2714	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2715		Up, < 0.1	Dn, < 0.1
2716	Dn, < 0.1		Up, < 0.1
2726		Dn, < 0.1	
2729			Dn, < 0.1
2734			Up, < 0.1
2735			Up, < 0.1
2743			Up, < 0.1
2744			Up, < 0.1
2748	Up, < 0.1	Up, < 0.1	
2753	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
2754		Dn, < 0.1	Up, < 0.1
2755			Up, < 0.1
2760	Dn, < 0.1		
2761	Dn, < 0.1		
2763			Dn, < 0.1
2764			Dn, < 0.1
2768			Dn, < 0.1
2772			Up, < 0.1
2777			Up, < 0.01
2778	Dn, < 0.1	Dn, < 0.1	
2785	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
2786	Dn, < 0.1	Dn, < 0.1	Dn, < 0.01
2789	Up, < 0.1		
2790	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
2791			Dn, < 0.1
2793	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
2796			Dn, < 0.1
2798			Up, < 0.01
2802			Up, < 0.1
2810		Dn, < 0.1	
2818			Up, < 0.1
2821			Dn, < 0.1
2824	Dn, < 0.01	Dn, < 0.01	
2826	Dn, < 0.1	Dn, < 0.1	
2836			Up, < 0.1
2837	Dn, < 0.01	Dn, < 0.1	
2841			Dn, < 0.1
2845	Dn, < 0.1	Dn, < 0.1	
2846	Dn, < 0.1		Up, < 0.1
2847			Up, < 0.1
2850			Dn, < 0.1
2853	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
2855	Dn, < 0.1	Dn, < 0.1	
2863	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2867			Dn, < 0.1
2868			Up, < 0.1
2871			Dn, < 0.1
2873			Up, < 0.1
2875	Dn, < 0.1		Dn, < 0.1
2876			Up, < 0.01
2880			Up, < 0.1
2882	Dn, < 0.1		Up, < 0.001
2884	Dn, < 0.1	Dn, < 0.1	
2890		Dn, < 0.1	
2892	Dn, < 0.1		
2896		Dn, < 0.1	Up, < 0.1
2897			Up, < 0.1
2900	Dn, < 0.1		
2903			Up, < 0.1
2910			Up, < 0.1
2912			Up, < 0.1
2913			Up, < 0.1
2914	Dn, < 0.001	Dn, < 0.001	Up, < 0.1
2915			Up, < 0.1
2920			Dn, < 0.1
2927	Dn, < 0.1	Dn, < 0.1	
2931			Up, < 0.1
2935	Dn, < 0.1	Dn, < 0.1	
2944			Up, < 0.1
