Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
3711	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3713			Dn, < 0.1
3716			Dn, < 0.1
3717		Up, < 0.1	
3720	Up, < 0.1	Up, < 0.1	
3722			Dn, < 0.1
3726			Dn, < 0.1
3740	Up, < 0.1		
3742			Up, < 0.1
3747		Dn, < 0.1	
3749	Dn, < 0.1	Dn, < 0.1	
3750			Up, < 0.1
3757		Up, < 0.1	
3761			Dn, < 0.1
3763	Up, < 0.1	Up, < 0.1	
3765			Dn, < 0.1
3769	Dn, < 0.1	Dn, < 0.1	
3774			Up, < 0.01
3776		Dn, < 0.1	
3785	Up, < 0.1	Up, < 0.1	
3790			Dn, < 0.1
3792		Dn, < 0.1	
3794		Dn, < 0.1	
3799		Dn, < 0.1	
3804		Up, < 0.1	
3809			Dn, < 0.1
3811		Up, < 0.1	Dn, < 0.1
3825			Dn, < 0.1
3833	Dn, < 0.1	Dn, < 0.1	
3839			Up, < 0.01
3841			Dn, < 0.1
3846	Up, < 0.1	Up, < 0.1	Dn, < 0.01
3849			Dn, < 0.1
3855		Dn, < 0.1	
3874			Up, < 0.1
3875			Up, < 0.1
3880	Dn, < 0.01	Dn, < 0.01	
3881			Dn, < 0.1
3892	Dn, < 0.1	Dn, < 0.1	
3894	Dn, < 0.1		Up, < 0.1
3904			Dn, < 0.1
3911		Dn, < 0.1	
3915			Up, < 0.1
3924	Up, < 0.1	Up, < 0.01	Dn, < 0.1
3925	Dn, < 0.1		
3936			Dn, < 0.1
3937			Dn, < 0.1
3960			Up, < 0.1
3965	Up, < 0.1	Up, < 0.1	
3968			Up, < 0.1
3973	Dn, < 0.1		
3987	Up, < 0.1	Up, < 0.1	Up, < 0.1
3990			Up, < 0.1
3999			Dn, < 0.1
4002			Up, < 0.1
4004			Up, < 0.1
4009		Up, < 0.01	
4012	Up, < 0.1	Up, < 0.1	
4017			Dn, < 0.1
4026	Dn, < 0.1		
4031	Dn, < 0.1		
4032	Up, < 0.1	Up, < 0.1	
4036	Dn, < 0.1	Dn, < 0.1	
4048	Dn, < 0.1	Dn, < 0.1	
4049		Dn, < 0.1	
4056	Dn, < 0.1	Dn, < 0.1	
4057	Up, < 0.1		
4060			Dn, < 0.1
4069	Dn, < 0.1	Dn, < 0.1	
4089			Dn, < 0.1
4092	Dn, < 0.1		
4102			Up, < 0.1
4105			Dn, < 0.1
4126			Up, < 0.1
4128		Dn, < 0.1	Dn, < 0.1
4141	Up, < 0.1	Up, < 0.1	
4149			Dn, < 0.1
4160			Dn, < 0.1
4161	Up, < 0.1		
4163			Dn, < 0.1
4175			Up, < 0.01
4177		Up, < 0.1	
4183	Dn, < 0.1	Dn, < 0.1	
4189	Dn, < 0.1	Dn, < 0.1	
4190		Dn, < 0.1	
4200		Up, < 0.1	
4201			Dn, < 0.1
4202	Up, < 0.1	Up, < 0.01	
4203	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
4208	Up, < 0.1	Up, < 0.01	Up, < 0.1
4209	Up, < 0.1	Up, < 0.1	
4211	Up, < 0.1		
4231			Dn, < 0.1
4232			Dn, < 0.1
4237		Up, < 0.1	Dn, < 0.1
4241	Up, < 0.01	Up, < 0.001	
4242	Up, < 0.1	Up, < 0.1	
4248			Up, < 0.1
4250	Dn, < 0.1	Dn, < 0.1	
4252	Dn, < 0.1	Dn, < 0.1	
4254		Up, < 0.1	
4264		Up, < 0.1	
4268			Dn, < 0.1
4272	Dn, < 0.1	Dn, < 0.1	
4276	Up, < 0.01	Up, < 0.1	
4279	Up, < 0.1	Up, < 0.1	
4283			Up, < 0.1
4288		Up, < 0.1	
4299			Up, < 0.1
4305			Dn, < 0.1
4306			Dn, < 0.1
4307			Up, < 0.1
4312			Dn, < 0.1
4318		Up, < 0.1	
4319	Dn, < 0.1	Dn, < 0.1	
4320		Up, < 0.1	
4324		Dn, < 0.1	
4338	Dn, < 0.1		
4348		Up, < 0.1	
4364			Dn, < 0.1
4369			Dn, < 0.1
4370	Up, < 0.1	Up, < 0.1	
4376		Up, < 0.1	
4390			Dn, < 0.1
4397			Up, < 0.1
4404	Dn, < 0.1	Dn, < 0.01	
4408			Up, < 0.1
4413	Up, < 0.1	Up, < 0.1	
4420			Dn, < 0.1
4426	Dn, < 0.1		
4428			Dn, < 0.01
4429	Dn, < 0.01	Dn, < 0.1	
4433			Dn, < 0.1
4440			Dn, < 0.1
4457			Up, < 0.1
4470		Up, < 0.1	Dn, < 0.1
4478		Dn, < 0.1	
4488		Dn, < 0.1	
4492			Dn, < 0.1
4493			Dn, < 0.1
