Eigvals	3
27.156727192277668	22.363768134824728	12.390016392162508

Proportion explained	3
0.5301325865930588	0.3595171425597708	0.11035027084717038

Species	12	3
X940756	-0.013607337913977871	-0.02335618050525304	0.042270168348041745
X940761	0.021051129402072502	-0.02398881804148243	0.02559439560120734
X940763	0.004117174934124921	0.03071110885806448	-0.021530811427632787
X940766	0.025706692184667486	0.015343498662346204	0.029437974862919217
X940769	0.006052064463564773	0.03353328778048027	0.0049231456183678034
X940775	0.019894923507857494	-0.0134904204481451	0.008514707727383988
X940778	-0.00763578751689368	0.022602967264953682	-0.002266015515579338
X940786	-0.011750652175118866	-0.014481984191499776	-0.019915423181407706
X940796	-0.009638044678923128	-0.017556136720614724	0.00209533838635012
X940816	-0.017739589910590856	-0.009480113529849177	-0.030485151133279337
X940819	0.009126964367902574	-0.024045955868796785	-0.013687978230940588
X940820	0.009280669400163498	0.008967954070380434	0.003925069807955316
X940826	0.005173113413555256	-0.030521949383407704	0.07485640247892199
X940827	-0.04685743391969647	0.019411418928118325	-0.008884122803259916
X940833	-0.047076107160972214	-0.02670923523621271	0.028966520754953495
X940843	0.01971117457736325	0.01929537977356683	0.006368750396906357
X940844	0.006904710849020986	0.02794207191054656	-0.007633520644880043
